商店(shop),餐點性質(type),餐次規則(meal),食物名稱(name),熱量(calories),價格(price),食物六大類(category),食物無片(image)
7-ELEVEN,副餐,"早餐,午餐,晚餐",醬燒里肌鮮蔬三明治,268,69,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_99.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",黑胡椒豬柳蛋堡,322,79,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_96.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",花生熔岩辣雞腿堡,566,79,"全穀雜糧類,豆魚蛋肉類,油脂與堅果種子類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_97.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",黃金蝦排堡,427,89,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_88.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",勁辣雞腿堡,450,59,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_51.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",吉士火腿蛋堡,267,50,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_86.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",吉士豬肉堡加蛋,261,45,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_102.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",(熱壓土司)花生醬燻培根,357,70,"全穀雜糧類,豆魚蛋肉類,油脂與堅果種子類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_92.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",(熱壓土司)美式BBQ燻腸,372,70,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_87.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",(熱壓土司)丹麥鮪魚起司,328,60,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_48.png
